"Month","Date","RPI, % change over 12 months","CPI, % change over 12 months","Month on Month"
"January","Jan-01",,,1.001323
"February","Feb-01",,,1.001323
"March","Mar-01",,,1.001323
"April","Apr-01",,,1.001323
"May","May-01",,,1.001323
"June","Jun-01",,,1.001323
"July","Jul-01",,,1.001323
"August","Aug-01",,,1.001323
"September","Sep-01",,,1.001323
"October","Oct-01",,,1.001323
"November","Nov-01",,,1.001323
"December","Dec-01",,,1.001323
"January","Jan-02",1.3,1.6,1.0003452904
"February","Feb-02",1,1.5,1.001323
"March","Mar-02",1.3,1.5,1.0003364749
"April","Apr-02",1.5,1.4,0.9953980118
"May","May-02",1.1,0.8,0.999336248
"June","Jun-02",1,0.6,1.0062997545
"July","Jul-02",1.5,1.1,1.0003325717
"August","Aug-02",1.4,1,1.001323
"September","Sep-02",1.7,1,1.0052886356
"October","Oct-02",2.1,1.4,1.002310498
"November","Nov-02",2.6,1.5,1.0032960502
"December","Dec-02",2.9,1.7,0.9973846598
"January","Jan-03",2.9,1.3,1.0033078135
"February","Feb-03",3.2,1.6,1.0003374459
"March","Mar-03",3.1,1.5,0.9993509217
"April","Apr-03",3.1,1.4,0.994416357
"May","May-03",3,1.3,0.9973632248
"June","Jun-03",2.9,1.1,1.0082904563
"July","Jul-03",3.1,1.3,1.0013200668
"August","Aug-03",2.9,1.4,1.001323
"September","Sep-03",2.8,1.4,1.0052886356
"October","Oct-03",2.6,1.4,1.0013220261
"November","Nov-03",2.5,1.3,1.0032960502
"December","Dec-03",2.8,1.3,0.9983692448
"January","Jan-04",2.6,1.4,1.0023183581
"February","Feb-04",2.5,1.3,0.998362446
"March","Mar-04",2.6,1.1,0.9993509217
"April","Apr-04",2.5,1.1,0.9983507442
"May","May-04",2.8,1.5,0.9983458487
"June","Jun-04",3,1.6,1.0063056325
"July","Jul-04",3,1.4,1.0003325717
"August","Aug-04",3.2,1.3,0.9993460543
"September","Sep-04",3.1,1.1,1.0062829864
"October","Oct-04",3.3,1.2,1.0042903721
"November","Nov-04",3.4,1.5,1.0052729883
"December","Dec-04",3.5,1.7,0.9973875642
"January","Jan-05",3.2,1.6,1.0033048919
"February","Feb-05",3.2,1.7,1.0003257939
"March","Mar-05",3.2,1.9,0.9993509217
"April","Apr-05",3.2,1.9,0.9983507442
"May","May-05",2.9,1.9,0.9993255796
"June","Jun-05",2.9,2,1.009265355
"July","Jul-05",2.9,2.3,1.0013104139
"August","Aug-05",2.8,2.4,1.0003219782
"September","Sep-05",2.7,2.5,1.0043195074
"October","Oct-05",2.5,2.3,1.00232695
"November","Nov-05",2.4,2.1,1.0033037954
"December","Dec-05",2.2,1.9,0.9973875642
"January","Jan-06",2.4,1.9,1.0042894894
"February","Feb-06",2.4,2,0.9983643708
"March","Mar-06",2.4,1.8,1.001314283
"April","Apr-06",2.6,2,1.0003082946
"May","May-06",3,2.2,1.0022590207
"June","Jun-06",3.3,2.5,1.0082807059
"July","Jul-06",3.3,2.4,1.0022882561
"August","Aug-06",3.4,2.5,0.9993460543
"September","Sep-06",3.6,2.4,1.0043195074
"October","Oct-06",3.7,2.4,1.0052634548
"November","Nov-06",3.9,2.7,1.0062345757
"December","Dec-06",4.4,3,0.9944825518
"January","Jan-07",4.2,2.7,1.005267376
"February","Feb-07",4.6,2.8,1.0012778855
"March","Mar-07",4.8,3.1,0.9984006624
"April","Apr-07",4.5,2.8,0.997389107
"May","May-07",4.3,2.5,1.001281207
"June","Jun-07",4.4,2.4,1.0033574602
"July","Jul-07",3.8,1.9,1.0013046563
"August","Aug-07",4.1,1.8,0.9993460543
"September","Sep-07",3.9,1.8,1.0072791916
"October","Oct-07",4.2,2.1,1.0052634548
"November","Nov-07",4.3,2.1,1.0062345757
"December","Dec-07",4,2.1,0.9954565798
"January","Jan-08",4.1,2.2,1.0082182587
"February","Feb-08",4.1,2.5,1.0012778855
"March","Mar-08",3.8,2.5,1.0032709096
"April","Apr-08",4.2,3,1.0002941238
"May","May-08",4.3,3.3,1.0061276795
"June","Jun-08",4.6,3.8,1.0091572143
"July","Jul-08",5,4.4,1.0041819685
"August","Aug-08",4.8,4.7,1.0041184805
"September","Sep-08",5,5.2,1.0005767635
"October","Oct-08",4.2,4.5,1.0014155564
"November","Nov-08",3,4.1,0.9965685375
"December","Dec-08",0.9,3.1,0.9944910545
"January","Jan-09",0.1,3,1.010175964
"February","Feb-09",0,3.2,0.998367194
"March","Mar-09",-0.4,2.9,0.9974209334
"April","Apr-09",-1.2,2.3,0.9993163192
"May","May-09",-1.1,2.2,1.002189802
"June","Jun-09",-1.6,1.8,1.0091572143
"July","Jul-09",-1.4,1.8,1.0022091159
"August","Aug-09",-1.3,1.6,0.9991769526
"September","Sep-09",-1.4,1.1,1.0045355242
"October","Oct-09",-0.8,1.5,1.0053620216
"November","Nov-09",0.3,1.9,1.0063484054
"December","Dec-09",2.4,2.9,1.0002898362
"January","Jan-10",3.7,3.5,1.0052958869
"February","Feb-10",3.7,3,1.0022443481
"March","Mar-10",4.4,3.4,1.0003148046
"April","Apr-10",5.3,3.7,0.9964253366
"May","May-10",5.1,3.4,1.0002513305
"June","Jun-10",5,3.2,1.0081793488
"July","Jul-10",4.8,3.1,1.0022091159
"August","Aug-10",4.7,3.1,0.9991769526
"September","Sep-10",4.6,3.1,1.0055098555
"October","Oct-10",4.5,3.2,1.0063362096
"November","Nov-10",4.7,3.3,1.0102452046
"December","Dec-10",4.8,3.7,1.0031836351
"January","Jan-11",5.1,4,1.0091624095
"February","Feb-11",5.5,4.4,0.9984043315
"March","Mar-11",5.3,4,1.0051240104
"April","Apr-11",5.2,4.5,0.9964253366
"May","May-11",5.2,4.5,0.9973797955
"June","June-11",5,4.2,1.0101144339
"July","July-11",5,4.4,1.0031690863
"August","Aug-11",5.2,4.5,1.0096946047
"September","Sept-11",5.2,5.6,0.9997967313
"October","Oct-11",5.4,5,1.0044193787
"Novemer","Nov-11",5.2,4.8,1.004461358
"December","Dec-11",4.8,4.2,0.9974071459
"January","Jan-12",3.9,3.6,1.0072142196
"February","Feb-12",3.7,3.4,0.9993699063
"March","March-12",3.6,3.5,1.0051240104
"April","April-12",3.6,3.5,0.9964253366
"May","May-12",3.6,3.5,0.9636519764
